,0
0,"['190.202.59.9', '15/Oct/2021', '00:07:38', 'GET', '/jsp/jstl-sql-setdatasource-tag.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '14958', 'Mozilla/5.0 (Windows NT 10.0; WOW64; Rv:50.0) Gecko/20100101 Firefox/50.0']"
1,"['106.11.154.7', '15/Oct/2021', '00:21:06', 'GET', '/awk/8xet1k8a.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13863', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
2,"['120.244.228.1', '15/Oct/2021', '01:00:46', 'GET', '/hadoop/fgr61jyf.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '13382', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36 Edg/94.0.992.47']"
3,"['106.11.156.1', '15/Oct/2021', '02:52:03', 'GET', '/assembly/assembly-coprocessor.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '16698', 'Mozilla/5.0 (iPhone; U; CPU iPhone OS 10_3_1 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8A293 Safari/6531.22.7']"
4,"['106.11.159.1', '15/Oct/2021', '02:55:56', 'GET', '/doc_python_3_5/python_3_5-library-zipapp.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '128557', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
5,"['120.253.237.2', '15/Oct/2021', '03:04:55', 'GET', '/jquery/selector-input-reset.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '14890', 'Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0']"
6,"['139.162.180.1', '15/Oct/2021', '03:34:49', 'GET', ""/jsp/jstl-sql-setdatasource-tag.html?fcode=abox_workview1&vipPopup=1&appfunction=vip'"", 'HTTP/1.1', '200', '14958', 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0']"
7,"['106.11.155.1', '15/Oct/2021', '04:11:49', 'GET', '/doc_python_3_5/python_3_5-library-zipapp.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '128557', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
8,"['106.11.156.1', '15/Oct/2021', '04:12:52', 'GET', '/assembly/assembly-coprocessor.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '16698', 'Mozilla/5.0 (iPhone; U; CPU iPhone OS 10_3_1 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8A293 Safari/6531.22.7']"
9,"['185.27.99.2', '15/Oct/2021', '05:56:08', 'GET', '/clojure/clojure_overview.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14170', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
10,"['185.27.99.2', '15/Oct/2021', '05:57:32', 'GET', '/clojure/clojure-j5w81wf2.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13178', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
11,"['185.27.99.2', '15/Oct/2021', '05:57:43', 'GET', '/clojure/clojure_environment.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14935', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
12,"['185.27.99.2', '15/Oct/2021', '05:58:01', 'GET', '/clojure/clojure_data_types.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14883', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
13,"['185.27.99.2', '15/Oct/2021', '05:58:06', 'GET', '/clojure/clojure_variables.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14618', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
14,"['185.27.99.2', '15/Oct/2021', '05:58:16', 'GET', '/clojure/clojure_operators.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '15810', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
